,ID,Date,Primary Type,Year,Time Period,DateTime,Hour
1413123,10755775,11/16/2016 10:15:00 PM,SEX OFFENSE,2016,PM,2016-11-16 22:15:00,22
1413277,10756494,11/16/2016 06:45:00 PM,SEX OFFENSE,2016,PM,2016-11-16 18:45:00,18
1413365,22954,11/16/2016 04:55:00 AM,HOMICIDE,2016,AM,2016-11-16 04:55:00,4
1413366,22955,11/16/2016 07:04:00 PM,HOMICIDE,2016,PM,2016-11-16 19:04:00,19
1413367,22956,11/16/2016 08:40:00 PM,HOMICIDE,2016,PM,2016-11-16 20:40:00,20
1413490,10760526,11/16/2016 12:01:00 AM,SEX OFFENSE,2016,AM,2016-11-16 00:01:00,0
1413772,10756557,11/17/2016 05:15:00 PM,SEX OFFENSE,2016,PM,2016-11-17 17:15:00,17
1414053,10757224,11/17/2016 07:00:00 PM,SEX OFFENSE,2016,PM,2016-11-17 19:00:00,19
1414094,10757587,11/17/2016 02:00:00 PM,SEX OFFENSE,2016,PM,2016-11-17 14:00:00,14
1414229,22959,11/17/2016 04:48:00 AM,HOMICIDE,2016,AM,2016-11-17 04:48:00,4
1414230,22960,11/17/2016 12:21:00 PM,HOMICIDE,2016,PM,2016-11-17 12:21:00,12
1414231,22961,11/17/2016 02:00:00 PM,HOMICIDE,2016,PM,2016-11-17 14:00:00,14
1414232,22962,11/17/2016 10:46:00 PM,HOMICIDE,2016,PM,2016-11-17 22:46:00,22
1414404,10757434,11/18/2016 10:00:00 AM,SEX OFFENSE,2016,AM,2016-11-18 10:00:00,10
1414924,22963,11/18/2016 07:23:00 PM,HOMICIDE,2016,PM,2016-11-18 19:23:00,19
1415561,22964,11/19/2016 12:56:00 AM,HOMICIDE,2016,AM,2016-11-19 00:56:00,0
1415562,22965,11/19/2016 11:22:00 AM,HOMICIDE,2016,AM,2016-11-19 11:22:00,11
1415563,22966,11/19/2016 11:31:00 AM,HOMICIDE,2016,AM,2016-11-19 11:31:00,11
1415598,10758860,11/20/2016 02:00:00 AM,SEX OFFENSE,2016,AM,2016-11-20 02:00:00,2
1415984,10759540,11/20/2016 03:00:00 PM,SEX OFFENSE,2016,PM,2016-11-20 15:00:00,15
1416148,22967,11/20/2016 01:17:00 AM,HOMICIDE,2016,AM,2016-11-20 01:17:00,1
1416149,22968,11/20/2016 03:48:00 AM,HOMICIDE,2016,AM,2016-11-20 03:48:00,3
1416150,22971,11/20/2016 05:29:00 PM,HOMICIDE,2016,PM,2016-11-20 17:29:00,17
