,CrimeDate,CrimeTime,Description,Hour,Year
55008,02/26/2016,2220.00,HOMICIDE,22,2016
55126,02/25/2016,2131.00,HOMICIDE,21,2016
55231,02/24/2016,21:05:38,RAPE,21,2016
55286,02/24/2016,11:36:28,RAPE,11,2016
55312,02/24/2016,06:11:28,RAPE,6,2016
55363,02/23/2016,16:37:02,RAPE,16,2016
55398,02/23/2016,934.00,HOMICIDE,9,2016
55501,02/22/2016,11:39:20,RAPE,11,2016
55557,02/21/2016,2013.00,HOMICIDE,20,2016
55586,02/21/2016,1327.00,HOMICIDE,13,2016
55624,02/21/2016,204.00,HOMICIDE,2,2016
55695,02/20/2016,1338.00,HOMICIDE,13,2016
55696,02/20/2016,1338.00,HOMICIDE,13,2016
55764,02/19/2016,17:21:48,RAPE,17,2016
55785,02/19/2016,1239.00,HOMICIDE,12,2016
55816,02/19/2016,08:21:42,RAPE,8,2016
55852,02/18/2016,2303.00,HOMICIDE,23,2016
55954,02/17/2016,2102.00,HOMICIDE,21,2016
55995,02/17/2016,14:00:41,RAPE,14,2016
56164,02/15/2016,19:18:45,RAPE,19,2016
56202,02/15/2016,341.00,HOMICIDE,3,2016
56319,02/13/2016,17:19:06,RAPE,17,2016
56340,02/13/2016,11:08:35,RAPE,11,2016
56393,02/12/2016,1935.00,HOMICIDE,19,2016
56465,02/12/2016,02:20:41,RAPE,2,2016
56489,02/11/2016,2000.00,HOMICIDE,20,2016
56558,02/10/2016,2118.00,HOMICIDE,21,2016
56651,02/10/2016,135.00,HOMICIDE,1,2016
56735,02/09/2016,05:41:33,RAPE,5,2016
56863,02/08/2016,20.00,HOMICIDE,0,2016
57131,02/05/2016,1419.00,HOMICIDE,14,2016
57157,02/05/2016,854.00,HOMICIDE,8,2016
57259,02/04/2016,206.00,HOMICIDE,2,2016
57273,02/03/2016,2223.00,HOMICIDE,22,2016
57320,02/03/2016,15:00:14,RAPE,15,2016
57325,02/03/2016,14:47:54,RAPE,14,2016
57466,02/02/2016,09:12:55,RAPE,9,2016
57502,02/01/2016,2145.00,HOMICIDE,21,2016
57530,02/01/2016,14:39:37,RAPE,14,2016
57835,01/29/2016,1750.00,HOMICIDE,17,2016
57904,01/28/2016,22:08:21,RAPE,22,2016
58098,01/26/2016,2026.00,HOMICIDE,20,2016
58458,01/21/2016,14:41:25,RAPE,14,2016
58511,01/21/2016,00:32:03,RAPE,0,2016
58537,01/20/2016,18:48:23,RAPE,18,2016
58610,01/20/2016,01:06:19,RAPE,1,2016
58650,01/19/2016,1816.00,HOMICIDE,18,2016
58683,01/19/2016,1430.00,HOMICIDE,14,2016
58787,01/18/2016,1607.00,HOMICIDE,16,2016
58850,01/17/2016,22:31:26,RAPE,22,2016
59112,01/15/2016,1925.00,HOMICIDE,19,2016
59473,01/12/2016,2116.00,HOMICIDE,21,2016
59518,01/12/2016,16:52:16,RAPE,16,2016
59523,01/12/2016,16:13:11,RAPE,16,2016
59524,01/12/2016,16:07:18,RAPE,16,2016
59525,01/12/2016,16:07:18,RAPE,16,2016
59634,01/11/2016,18:36:22,RAPE,18,2016
59656,01/11/2016,1517.00,HOMICIDE,15,2016
59680,01/11/2016,12:06:52,RAPE,12,2016
59702,01/11/2016,07:37:01,RAPE,7,2016
59734,01/10/2016,2104.00,HOMICIDE,21,2016
60055,01/08/2016,15:25:11,RAPE,15,2016
60163,01/07/2016,2045.00,HOMICIDE,20,2016
60175,01/07/2016,1938.00,HOMICIDE,19,2016
60197,01/07/2016,1712.00,HOMICIDE,17,2016
60244,01/07/2016,10:37:45,RAPE,10,2016
60295,01/06/2016,20:47:46,RAPE,20,2016
60388,01/06/2016,03:00:06,RAPE,3,2016
60485,01/05/2016,1119.00,HOMICIDE,11,2016
60518,01/05/2016,00:35:24,RAPE,0,2016
60929,01/01/2016,1342.00,HOMICIDE,13,2016
