Hour	Homicide	Sex Abuse
0	0.5556	0.4444
1	0.7143	0.2857
2	0.5417	0.4583
3	0.5882	0.4118
4	0.6	0.4
5	0.7	0.3
6	0.6429	0.3571
7	0.6364	0.3636
8	0.5833	0.4167
9	0.8235	0.1765
10	0.6316	0.3684
11	0.7368	0.2632
12	0.5455	0.4545
13	0.6	0.4
14	0.6563	0.3437
15	0.5556	0.4444
16	0.641	0.359
17	0.579	0.421
18	0.5938	0.4062
19	0.5143	0.4857
20	0.6522	0.3478
21	0.7391	0.2609
22	0.6316	0.3684
23	0.742	0.258
